Name;Gauss-Krueger E;Gauss-Krueger N
Bad Oldesloe;3591174;5964697
Bad Oldesloe, Am Bürgerpark;3590259;5965077
Bad Oldesloe, Am Glindhorst;3591600;5964964
Bad Oldesloe, Am Hohenkamp;3589680;5964907
Bad Oldesloe, Am Stadion;3590736;5965614
Bad Oldesloe, Am Steinf. Redder (M);3592178;5966179
Bad Oldesloe, Am Steinfelder Redder;3591824;5965727
Bad Oldesloe, Am Tegel;3592455;5964646
Bad Oldesloe, Amalie-Dietrich-Straße;3589298;5964265
Bad Oldesloe, Anne-Frank-Straße;3591213;5964024
Bad Oldesloe, Aspen;3592166;5964307
Bad Oldesloe, Bei der Mennokate;3590551;5966030
Bad Oldesloe, Berufsschule;3592095;5964858
Bad Oldesloe, Bickbüschen;3589449;5964859
Bad Oldesloe, Birkenkamp;3589974;5963916
Bad Oldesloe, Dorothea-Schlözer-Straße;3589151;5964455
Bad Oldesloe, Elly-Heuss-Knapp-Straße;3592706;5963905
Bad Oldesloe, Else-Wex-Ring;3592242;5966004
Bad Oldesloe, Famila;3592627;5964102
Bad Oldesloe, F.-D.-Hagelstein-Weg;3591862;5966143
Bad Oldesloe, Feuerwache;3591083;5965388
Bad Oldesloe, Finanzamt;3591010;5965236
Bad Oldesloe, Finkenweg;3590074;5963984
Bad Oldesloe, Friedhof;3589487;5964162
Bad Oldesloe, Fuchsberg;3591692;5966216
Bad Oldesloe, Gartenstraße;3591344;5965705
Bad Oldesloe, Gewerbegebiet West;3588279;5964101
Bad Oldesloe, Glinde 1-15;3586031;5964344
Bad Oldesloe, Glinde 21-28;3586563;5964358
Bad Oldesloe, Grundschule West;3589060;5964917
Bad Oldesloe, Gymnasium;3590149;5964689
Bad Oldesloe, Hagenstraße;3590590;5965245
Bad Oldesloe, Hako;3588946;5964003
Bad Oldesloe, Hanelanden;3589046;5965181
Bad Oldesloe, Hebbelstraße;3591078;5964411
Bad Oldesloe, Hedwig-Kettler-Straße;3589084;5964766
Bad Oldesloe, Heimatmuseum;3590559;5964984
Bad Oldesloe, Heimstraße;3589576;5965316
Bad Oldesloe, Helene-Stöcker-Straße;3589114;5964811
Bad Oldesloe, Im Hölk 14-24;3591568;5966068
Bad Oldesloe, Klaus-Groth-Schule;3590996;5965917
Bad Oldesloe, Kneeden;3594138;5966057
Bad Oldesloe, Königstraße;3590268;5965022
Bad Oldesloe, Krankenhaus;3589804;5965376
Bad Oldesloe, Kurparkallee;3590744;5964870
Bad Oldesloe, Lily-Braun-Straße (Nord);3592505;5964348
Bad Oldesloe, Lindenkamp;3589465;5964250
Bad Oldesloe, Lise-Meitner-Ring;3589003;5964602
Bad Oldesloe, Lübecker Straße;3590744;5965309
Bad Oldesloe, Mährischer Berg;3590217;5964847
